Date,Close_AAPL,Volume_AAPL,Open_AAPL,High_AAPL,Low_AAPL,Return_AAPL,Close_MSFT,Volume_MSFT,Open_MSFT,High_MSFT,Low_MSFT,Return_MSFT,YoY,InfChange
2018-02-28,1.0250966273442383e+31,1.1895015887279493e+157,9.857123210571522e+30,1.318091711111076e+31,8.012325247624349e+30,0.0637840420449114,2.1965252172906735e+37,3.5622314649093458e+143,2.206110361373944e+37,2.928482244736165e+37,1.665809843765151e+37,-0.013051257762340951,2.123101,-0.016091217861705975
2018-03-31,4.346194796780699e+34,3.1671241292385466e+170,4.63850140113095e+34,5.704180224996234e+34,3.6681508199301274e+34,-0.05793846844823669,2.6493494685277943e+41,1.4089166549365381e+158,2.856162012666031e+41,3.557124065251132e+41,2.1093585683541878e+41,-0.026660978991148387,2.366925,0.11484333529116131
2018-04-30,2.490018276318856e+34,6.598668356921188e+169,2.5053219075431825e+34,3.104485305894797e+34,2.0617393354529488e+34,-0.01501787842669855,2.8451549132106927e+41,1.5849608476638483e+157,3.046105370230555e+41,3.760160199526112e+41,2.194064059668616e+41,0.02465213103977293,2.491592,0.05267044794406228
2018-05-31,7.261143328540598e+36,1.6804271116441313e+176,6.766675190587999e+36,8.084025172001477e+36,5.95574315408419e+36,0.1306873184898354,6.368566279033752e+43,5.136087169297316e+161,5.881960974038362e+43,7.211498350369541e+43,5.072272813849156e+43,0.05688622754491046,2.543212,0.02071767769361932
2018-06-30,2.159812153912292e+35,3.979330906892307e+167,2.1831229239610047e+35,2.4641282427449452e+35,1.892247282347992e+35,-0.009417808219177592,1.3822072995033297e+42,1.42817824535772e+156,1.417071214125125e+42,1.621328462534677e+42,1.1941028938834532e+42,-0.0023269931201936878,2.551897,0.0034149728768186893
2018-07-31,2.5974014952580343e+35,1.1605325149602384e+165,2.5662090085128803e+35,2.9662515446370758e+35,2.2565482156248116e+35,0.027873811581675678,3.1345036808848713e+42,2.89104210066702e+155,3.094061811752374e+42,3.6794715653684395e+42,2.581775385027258e+42,0.07575296623060557,2.518753,-0.012987985016636672
2018-08-31,8.001776724338054e+39,1.633018614540558e+185,7.165615861473836e+39,9.091969404118044e+39,6.429435556928854e+39,0.19634223249947413,8.35850398635303e+46,4.421401002836452e+167,7.965222527835836e+46,9.31964454163182e+46,7.011619915122809e+46,0.05891779788838569,2.432443,-0.03426695670436908
2018-09-30,1.9543086827809095e+33,2.2446392326815697e+154,1.996780051585994e+33,2.4005941336939048e+33,1.6516123224452098e+33,-0.0082586540151115,1.0578054497346244e+39,1.0216078654541987e+140,1.0295211937026052e+39,1.1910104146649179e+39,8.894671629799678e+38,0.018160776284163127,2.462881,0.012513345636465
2018-10-31,1.7515864558751551e+40,6.530391409156314e+186,1.8174992783892798e+40,2.4042449139726776e+40,1.2888745329251277e+40,-0.03047484053862548,9.238420296663442e+46,1.0355816630485747e+174,1.0455926080695484e+47,1.3544402573845824e+47,6.770070768765526e+46,-0.06610125032788361,2.415236,-0.01934523024051904
2018-11-30,2.7270700392043323e+35,8.890077149673357e+172,2.911397441776292e+35,3.6514732433683455e+35,2.0762887382923282e+35,-0.184027777777778,5.295838183986661e+42,6.860362550002126e+157,5.254410690609601e+42,6.649993719166049e+42,3.9982644631118887e+42,0.03819867053646675,2.476418,0.025331686013292165
